,id,dateTime,value,description,parentCategory,subCategory
0,c2de4c1a-eb71-45fb-940c-874ce9ca6eb9,2021-04-10T11:55:08+10:00,1.00,Round Up,None,None
1,ceeb05f7-5c34-4388-a5c7-e9631d2c9eaf,2021-04-10T11:55:03+10:00,-8.00,Bunnings Warehouse,home,home-maintenance-and-improvements
2,3f70cf3b-3433-4ee9-9a23-bf2fc3c30a06,2021-04-10T11:29:48+10:00,1.00,Round Up,None,None
3,3fdba7e7-e548-4ac2-8f33-e5890984f236,2021-04-10T11:29:47+10:00,-5.00,Citipointe Church,personal,gifts-and-charity
4,1ba62fe8-c09c-4b94-b034-8a53fa6c85d5,2021-04-09T19:13:53+10:00,24.00,Beem It,good-life,takeaway
5,720158e5-d18b-4081-9b96-5f7205f2866b,2021-04-09T19:00:42+10:00,0.01,Round Up,None,None
6,fc9fbf3d-d936-43b7-9332-b6dbf22fd8f1,2021-04-09T19:00:41+10:00,-51.99,Uber Eats,good-life,takeaway
7,1b4f5fe7-9035-459e-8591-c4bc59e142b4,2021-04-09T15:20:09+10:00,0.05,Round Up,None,None
8,e76f12d4-c1ae-444b-9c20-34e0f5d67b1a,2021-04-09T15:20:08+10:00,-8.95,KFC,good-life,takeaway
9,b9ab2e2e-425d-4018-b423-699f71e99702,2021-04-08T15:36:17+10:00,1.00,Round Up,None,None
10,b7cc5bf4-8a41-4e89-9aa9-d1adf885282f,2021-04-08T15:36:15+10:00,-6.00,QUTPay,transport,parking
11,56b41292-f3b1-41e0-8bc2-857d54d8d8ab,2021-04-08T08:04:49+10:00,-167.50,Bailey Ridley,None,None
12,41bb374d-edb8-44d7-92ec-95e6f1bcd225,2021-04-07T14:43:48+10:00,300.00,CommBank Transactional,None,None
13,61af0aac-91b4-40d9-b82b-1a97a9180ede,2021-04-07T14:19:28+10:00,0.08,Round Up,None,None
14,791552fc-40b3-4994-904f-935d3ccca3cd,2021-04-07T14:19:26+10:00,-8.92,BP,transport,fuel
15,b4f564af-dff0-41cf-a8a2-3a7faddbfc95,2021-04-07T11:25:10+10:00,1.00,Round Up,None,None
16,32723551-a26b-4dd0-9b54-ca8e3b9f2f18,2021-04-07T11:25:08+10:00,-99.00,Microsoft,good-life,games-and-software
17,0142a53e-9bfa-4ab6-a3c5-13df9b3db545,2021-04-07T03:23:55+10:00,0.01,Round Up,None,None
18,3322f6a2-311d-4935-aa28-1d39a14752e8,2021-04-07T03:23:53+10:00,-15.99,Netflix,good-life,tv-and-music
19,4f5ed6cc-31cc-4c70-b521-8893fbdc95bf,2021-04-06T21:30:49+10:00,0.56,Beem It,None,None
20,538cb6f4-3901-4a2f-8f4b-095670187a65,2021-04-06T21:30:48+10:00,-0.56,Beem It,None,None
21,e3475766-b0d6-4d9f-8a03-597aa03744ea,2021-04-06T21:30:45+10:00,0.28,Beem It,None,None
22,415b3c1f-2bfd-4ab1-a5a3-3bd5e79ddfe2,2021-04-06T21:30:44+10:00,-0.28,Beem It,None,None
23,3fa82c22-81bf-4494-ba11-053ba8dc9284,2021-04-06T20:22:44+10:00,32.40,Brody Hunt-Vidler,None,None
24,f819882c-3dab-4205-b5c4-de276f0a7dee,2021-04-05T12:21:22+10:00,0.42,Round Up,None,None
25,ab45cbe1-ea31-4e9f-84a4-53804f3bc888,2021-04-05T12:21:21+10:00,-100.58,Coles,home,groceries
26,8cd30b22-d837-4c1a-8f6b-2e72fe89c410,2021-04-04T23:35:00+10:00,200.00,Transfer from Savings,None,None
27,33c233ae-425a-4cc1-aee3-a616a184f5ae,2021-04-04T23:34:59+10:00,-200.00,Transfer to Spending,None,None
28,3a7a6627-3121-4674-99b1-07fed2d3b753,2021-04-04T13:27:28+10:00,0.95,Round Up,None,None
